State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Florida,7,EVEN,Stephanie Murphy,D,183113,134285,0,57.70%,42.30%,0.00%,15.40%,7.30%,8.10%,"363,186",87.40%,x
Florida,8,R+11,Bill Posey,R,142415,218112,0,39.50%,60.50%,0.00%,-21.00%,-20.70%,-0.30%,"401,911",89.70%,x
Florida,9,D+5,Darren Soto,D,172172,124565,0,58.00%,42.00%,0.00%,16.00%,12.90%,3.10%,"356,530",83.20%,x
Florida,10,D+11,Val Demings,D,0,0,0,100.00%,0.00%,0.00%,100.00%,26.90%,N/A,"315,611",0.00%,x
Florida,11,R+15,Dan Webster,R,128053,239395,58,34.80%,65.10%,0.00%,-30.30%,-32.30%,2.00%,"411,005",89.40%,x
Florida,12,R+8,Gus Bilirakis,R,132844,194564,7510,39.70%,58.10%,2.20%,-18.40%,-18.60%,0.20%,"380,363",88.10%,x
Florida,13,D+2,Charlie Crist,D,182717,134254,0,57.60%,42.40%,0.00%,15.30%,3.20%,12.10%,"360,760",87.90%,x
Florida,14,D+7,Kathy Castor,D,0,0,0,100.00%,0.00%,0.00%,100.00%,18.20%,N/A,"330,427",0.00%,x
Florida,15,R+6,Ross Spano,R,134132,151380,20,47.00%,53.00%,0.00%,-6.00%,-10.00%,4.00%,"334,514",85.40%,x
Florida,16,R+7,Vern Buchanan,R,164463,197483,0,45.40%,54.60%,0.00%,-9.10%,-10.80%,1.70%,"396,807",91.20%,x
Florida,17,R+13,Greg Steube,R,117194,193326,0,37.70%,62.30%,0.00%,-24.50%,-27.20%,2.70%,"353,861",87.80%,x
Florida,18,R+5,Brian Mast,R,156454,185905,0,45.70%,54.30%,0.00%,-8.60%,-9.20%,0.60%,"382,476",89.50%,x
Florida,19,R+13,Francis Rooney,R,128106,211465,36,37.70%,62.30%,0.00%,-24.50%,-22.10%,-2.40%,"381,184",89.10%,x
Florida,20,D+31,Alcee Hastings,D,202659,0,165,100.00%,0.00%,0.00%,100.00%,62.10%,N/A,"288,812",70.20%,x
Florida,21,D+9,Lois Frankel,D,0,0,0,100.00%,0.00%,0.00%,100.00%,19.50%,N/A,"351,663",0.00%,x
Florida,22,D+6,Ted Deutch,D,184634,113049,0,62.00%,38.00%,0.00%,24.00%,15.70%,8.30%,"356,478",83.50%,x
